user_id,tweet_id,text,category
290883,1502663077191426051,RT @LGalloway77: Good morning everyone. Yet another day closer to getting  #JohnsonOut47 Well done to the Midnight Club once again.  Let’s…,pax
2052911,1502403723032735745,"RT @TerryEnga: #JohnsonOut46 Bring in a Government of National Unity

#SlavaUkraini https://t.co/YyUyXnqtGd",pax
2052911,1501677263544279042,RT @lingardenisle: Will Russia sanction Conservative party now? #JohnsonOut44 #NHSCrisis #SlavaUkraïni https://t.co/ZWeOf6FNJO,pax
2052911,1502624368257556489,RT @lingardenisle: Our #Tory government could reduce fuel taxes.. They could put a windfall tax on energy companies instead of us (if they…,pax
2052911,1501672144455020556,"RT @TerryEnga: #JohnsonOut44 Bring in a Government of National Unity

#SlavaUkraini https://t.co/ehLhnD8NEM",pax
2052911,1503244651368783872,RT @Jojomo0: Another layer off the onion. #JohnsonOut49  #HoyleOut #SlavaUkraini https://t.co/ooUSyZ3jmC,pax
2052911,1501677861266149379,RT @lingardenisle: Tories see a business opportunity and a lucrative income stream by selling the NHS. They are not civilised. They want to…,pax
2052911,1502410774542794759,"RT @TerryEnga: #JohnsonOut46 Bring in a Government of National Unity

#SlavaUkraini https://t.co/bqTbc0kZNz",pax
2052911,1501883782508515331,"RT @TerryEnga: #JohnsonOut45 Bring in a Government of National Unity

#SlavaUkraini https://t.co/jv1BCBlIHZ",pax
2052911,1502386655415750661,RT @Jojomo0: Millions of people are fighting for you. #JohnsonOut46 #HoyleOut  #SlavaUkraini https://t.co/xgYlKD1JNX,pax
2052911,1501680290909069315,"RT @TerryEnga: #JohnsonOut44 Bring in a Government of National Unity

#SlavaUkraini https://t.co/gXPBnSpvIw",pax
2052911,1503489208366870530,RT @Jojomo0: I thought the same.  I bet an inner voice just made them do it.  #JohnsonOut49  #HoyleOut #SlavaUkraini https://t.co/MRObnRBzAC,pax
2052911,1503117210650300422,RT @Jojomo0: I am nagging! If you can spare a couple of secs please leave a message on the Bermuda Government website . If it works We woul…,pax
2052911,1502386524494643208,RT @Jojomo0: Somebody scuttle it! #JohnsonOut46 #HoyleOut  #SlavaUkraini https://t.co/9qdSi3Ph6V,pax
2052911,1501902353376886785,"RT @TerryEnga: #JohnsonOut45 Bring in a Government of National Unity

#SlavaUkraini https://t.co/gXuayfK5yZ",pax
2052911,1501883722831958019,"RT @TerryEnga: #JohnsonOut45 Bring in a Government of National Unity

#SlavaUkraini https://t.co/LiBR7ok7OK",pax
2052911,1502411904911908865,"RT @TerryEnga: #JohnsonOut46 Bring in a Government of National Unity

#SlavaUkraini https://t.co/SuhwtvDefN",pax
