user_id,tweet_id,text,category
4194599482,1502930259439755269,RT @LGalloway77: Dear Prime Minister. We see you. We see what you’ve done. We’d like our country back. We deserve to be treated with respec…,prorus
4197365239,1501701641954906115,RT @persistentpengn: #LongLiveUkraine 🇺🇦 #SlavaUkraini 🇺🇦,proukr
4198974743,1502323426509430792,"RT @ZahraSharifova: @DmytroKuleba #StopPutin
#StopRussia
#StopWarInUkraine https://t.co/AyzzLp4BRk",proukr
4200555579,1502690662357078017,RT @sfpelosi: I love it 💙💛🇺🇦 #SlavaUkraini,proukr
4200555579,1502818248156487683,RT @TonyHussein4: The Ukrainian Ministry of Defense is offering each Russian pilot a reward if they defect to #Ukraine with their aircraft.…,proukr
4201714659,1502976566996963333,RT @propeertys: ✌️ #SlavaUkraini 🇺🇦 https://t.co/xsPPpwr5fS,proukr
4201924096,1502198724826742784,RT @HHNB52168650: @NewVoiceUkraine @toot_rudy #SlavaUkraini 🇺🇦🌻 birds r very clever! https://t.co/dU0F0C12Ez,proukr
4201924096,1502212191084290048,"RT @SydesJokes: Some are born great, some achieve greatness, and others have greatness thrust upon them. - William Shakespeare #SlavaUkrain…",proukr
4201924096,1501857670059470848,"RT @jazzaoxon: He said #Berliners are at the Central Station day and night to welcome and help refugees from #Ukraine.
#SlavaUkraini",proukr
4205923693,1502830240212652034,"RT @joncoopertweets: When this war is over and Ukraine emerges victorious, I hope to some day meet @IAPonomarenko, the defense reporter at…",proukr
4209823162,1502946189230157826,RT @LGalloway77: Dear Prime Minister. We see you. We see what you’ve done. We’d like our country back. We deserve to be treated with respec…,prorus
4212575255,1502407741675126785,RT @AnnBorgen: @dkaleniuk #StopPutinNOW #StopRussia #TerroRussia #PutinWarCriminal #SlavaUkraini🌻💙💛🇺🇦🤝🇪🇺 https://t.co/hcplFYWk5i,pax
4213849704,1502906150550835200,"RT @joncoopertweets: When this war is over and Ukraine emerges victorious, I hope to some day meet @IAPonomarenko, the defense reporter at…",prorus
4221235756,1502750988507176961,"RT @cop_american: #The_Russian_Ukrainian_War
#nuclear 👇

ENERGY ATOM statement

""Only madmen & non-humans can shoot at #nuclear units from a…",proukr
4224067276,1503274552046071809,RT @lingardenisle: @DeborahMercer00 He must go. His days are numbered #JohnsonOut49 #NHSUnderfunded #SlavaUkraïni #RefugeesWelcome,proukr
4247191102,1503083427704279041,RT @JuPe_EU: @ng_ukraine Today 13.3.1940 Finland’s 🇫🇮 Winter War against Russia 🇷🇺 ended -and against all odds- small Finland remained a fr…,pax
4247191102,1502409911061434371,"RT @boco20: @IAPonomarenko Great design from a group of fearless protectors💙🇺🇦💛
#Zelensky 
#SlavaUkraini https://t.co/07Glo1bEtG",pax
4252555573,1501678549874671620,"RT @Lyla_lilas: ""The second army in the world"" is robbing the villagers.  Shame!  🤦‍♀️
#UkraineRussia #Ukraine #SlavaUkraini #StopPutinNOW…",proukr
4257194179,1502463778528497668,RT @ProjectLincoln: President Zelensky reminds us through his bravery and perseverance just how precious our freedom is. We stand with Ukra…,proukr
4264297743,1502363923789537287,"RT @GeorReader: On @SkyNews a Russian journalist:

- Russian military &amp; diplomatic failures
- mil momentum going towards #Ukraine 
- Russia…",pax
4264297743,1502965812948312066,RT @LGalloway77: Dear Prime Minister. We see you. We see what you’ve done. We’d like our country back. We deserve to be treated with respec…,pax
4264297743,1502987921808412675,"RT @jwahjwah: I love this!
#StandWithUkraine #SlavaUkraine https://t.co/0PWDgFq3mm",pax
4274538132,1503031452933373953,RT @sandibachom: Two evil men set out to destroy the world. They will fail. “They will not break us” a Ukrainian woman told me today. #Trum…,proukr
4284308894,1503353069882703875,"RT @_aaveshka: Blood-thirsty economy brought to you with the support of Raiffeisen Bank.
#standwithukraine #stopwarinukraine #stoprussianag…",proukr
4284308894,1503352912055255040,"RT @gesko927: Dear @oriflame, no beauty product can mask the blood stains on the invader's hands. Stop backing russian economy and leave th…",proukr
