user_id,tweet_id,retweet_id,hashtag,location,verified,cat
290883,1502663077191426051,2956836471,"{'johnsonout47', 'nhsbadbill', 'slavaukraini'}",European Union,False,pax
298073,1503178785746685954,889765401822973952,{'slavaukraini'},nan,False,proukr
611093,1501988978345627654,56698771,"{'ukraine', 'standwithukraine', 'odesa', 'slavaukraini', 'stopputinswar', 'stopputin', 'odessa', 'wewillsurvive', 'ukrainerussianwar'}",istanbul,False,pax
699793,1502982769219371008,154830217,"{'slavaukraini', 'ukrainerussiawar'}",Pale Blue Dot/127.0.0.1,False,pax
756049,1502704662138568705,1255561430,"{'slavaukraini', 'ukraine'}",France,False,proukr
800485,1502622680226353159,12321952,"{'standwithukraine', 'slavaukraini', 'musicislife', 'ukraine'}",Lyon,False,pax
810603,1501842702731812865,279390084,"{'slavaukraini', 'notmeus'}",the dot on the map - PORTUGAL,False,dontcare
916201,1502691466077949956,82828746,"{'russen', 'slavaukraini', 'putinskrieg', 'ukraine'}","49.14081,8.556934",False,pax
917131,1502373222435602435,1168793622248067072,"{'ukrainianswillresist', 'stopwarinukraine'}","San Francisco, CA",True,proukr
1050111,1502113941354430465,143964847,{'slavaukraini'},"Washington, DC",True,proukr
1054431,1502907144672219139,152276950,"{'slavaukraini', 'deathtoputin'}","San Francisco, CA",False,proukr
1080161,1501899140309127170,3312966191,"{'slavaukraini', 'stoprussia', 'putinhitler'}",Irgendwo im Süden.,False,dontcare
1111871,1502590643159416836,794651749864837121,"{'standwithukriane', 'slavaukraini'}",Latvia,False,proukr
1471971,1502375246728368128,1205226529455632385,{'slavaukraini'},nan,False,proukr
1524781,1502990397982789636,382714056,{'slavaukraini'},"Manchester, UK",False,pax
1630511,1501939912735559687,722117494899679232,{'istandwithputin'},Easy to find.,False,proukr
1772721,1502003798193197062,21198805,"{'war', 'peoplepower', 'stopwar', 'stopwarinukraine', 'powerofthepeople', 'stopwars', 'ukraine', 'ukrainewar'}",nan,False,proukr
2002721,1502404763740258313,856874911,{'slavaukraini'},Rome,False,proukr
2052911,1503489544217366534,1401015246718914560,"{'slavaukraini', 'hoyleout', 'johnsonout49'}","London, England",False,pax
2364531,1502423589466693632,1168793622248067072,"{'ukrainianswillresist', 'stopwarinukraine'}","경기도 양주시 | Yangju, Gyeonggi",False,pax
2462851,1503003171811172353,2442408735,"{'streetphotography', 'slavaukraini', 'ukraineunderattack', 'documentary'}",London,False,proukr
2827221,1502269674880442373,4018888580,{'slavaukraini'},NYC,False,dontcare
3306811,1501843072811995139,863450762705240065,"{'3dprinting', 'makerspace', 'maker', 'stopwarinukraine', 'ukraine'}","Dachau, Deutschland",False,proukr
3554911,1502373973459226625,12321952,"{'standwithukraine', 'slavaukraini', 'musicislife', 'ukraine'}","Seattle, WA",False,proukr
3632161,1502831595622834176,17477864,"{'slavaukraini', 'heroiamslava'}","Bisbee, AZ",False,pax
3688111,1502609369984237568,1499295169870319616,"{'standwithukraine', 'slavaukraini', 'zelenskyy', 'ukraine', 'ukrainewar'}",Bangkok,False,proukr
3796501,1502206467260223489,18872716,{'slavaukraini'},Sweden,True,proukr
3799971,1503089130514886660,154830217,"{'slavaukraini', 'ukrainerussiawar'}",nan,False,proukr
4254951,1503082821719453701,282076470,{'slavaukraini'},Berkeley CA,False,proukr
4615341,1502834155570225157,27493883,"{'standwithukraine', 'slavaukraini'}",Paris of the Piedmont,False,proukr
4937061,1502408487707447300,47813279,"{'stopputinnow', 'slavaukraini'}","San Mateo County, California",False,proukr
4937571,1501980255296229380,4018888580,{'slavaukraini'},"Moss Beach, CA",False,pax
5017831,1502430806643339267,1168793622248067072,"{'ukrainianswillresist', 'stopwarinukraine'}",The Phinn,False,proukr
5149711,1502586929657040896,12321952,"{'standwithukraine', 'slavaukraini', 'musicislife', 'ukraine'}", Australia ,False,prorus
5199811,1502997587049254914,32372694,"{'standwithukraine', 'slavaukraini'}","ÜT: 51.494863,-0.123244",False,proukr
5398412,1501759480576757762,175494200,{'slavaukraini'},"NEO KYOTO (京都府, Japan)",False,dontcare
5404582,1502648572730302466,2322424306,"{'zelensky', 'anonymous', 'aveterottoilcazzo', '12marzo', 'putin', 'stopwarinukraine'}",Lugano,False,pax
5516892,1503077522090692611,889765401822973952,{'slavaukraini'},"Chicago, IL",False,proukr
5551292,1502753282653044741,12321952,"{'standwithukraine', 'slavaukraini', 'musicislife', 'ukraine'}",nan,False,proukr
5571722,1502647513093976067,1083612928270430209,{'slavaukraini'},"Wisconsin, US",False,pax
5614972,1503354061013544963,1252082769963827200,"{'peaceforukraine', 'standwithukriane', 'ukraineinvasion', 'closetheskyoverukraine', 'mariupol', 'slavaukraini', 'standingwithukraine', 'prayforukraine', 'kyiv', 'saveukraine', 'kiev', 'ukraine'}",Tokyo Japan,False,proukr
5674892,1501703548949516290,175494200,{'slavaukraini'},Universe,False,proukr
5749002,1501703697558028292,2301844336,{'slavaukraini'},"Martha's Vineyard, USA",False,proukr
5749582,1501893298587320322,256449425,"{'jurijtarnavskyj', '10marzo', 'poesia', 'russiaucraina', 'guerrarusiaucrania', 'stoprussia', 'russianukrainianwar', 'poeta', 'stopwarinukraine', 'peaceinukraine', 'ucraina'}","Rome, Italy.",False,proukr
5849252,1503036661915127812,1142623492141211650,"{'fresh', 'putinswar', 'slavaukraini', 'liveblue2022', 'demcast', 'ukraine'}","Ocean City, Maryland",False,proukr
5976502,1502401987089993730,1168793622248067072,"{'ukrainianswillresist', 'stopwarinukraine'}","Roswell, GA",False,proukr
6010332,1501934395015397385,29459695,"{'slavaukraini', 'socialmedia', 'putin'}","Colchester, England",False,pax
6073052,1503329801934934019,17477864,"{'slavaukraini', 'heroiamslava'}",🇮🇪🇪🇺🇺🇦🎮,False,proukr
6109302,1503213899168239616,1495386752823005187,"{'standwithukraine', 'stopputin', 'stopwarinukraine'}",Tokyo,False,proukr
6256362,1502751309828608000,3147907495,"{'standwithukraine', 'slavaukraini'}",Paris,False,proukr
6266142,1502993515449622532,1081484761934319623,"{'slavaukraini', 'johnsonout48'}",England,False,proukr
6343622,1502553684537974787,1494802105584046083,"{'melitopil', 'occupation', 'stoprussia', 'stopwarinukraine', 'ivanfedorov', 'russian', 'ukrainerussianwar'}","Orsay, FRANCE",False,proukr
6390052,1503093678277025793,287718633,"{'slavaukraini', 'oekraine', 'ukraine'}",Netherlands,False,proukr
6414072,1502333684199874561,762069180422250496,"{'slavaukraini', 'makememesnotwar'}",Warsaw,False,proukr
6451342,1502146000609177603,531618878,"{'standwithukraine', 'slavaukraini', 'istandwithzelenskyy'}","Mountain View, CA",False,pax
6522972,1502228889048948736,1142711,"{'stopputinnow', 'slavaukraini', 'stoprussia', 'stoprussianaggression'}","Paris, France",True,proukr
6565612,1501974254631403524,1317150842735177728,"{'slavaukraini', 'ucrania', 'kyiv', 'kiev', 'ukraine'}",Sant Feliu de Llobregat,False,pax
6682352,1502340456742596610,12321952,"{'standwithukraine', 'slavaukraini', 'musicislife', 'ukraine'}",Southampton UK,False,proukr
6691762,1501980129450500102,6691762,"{'scritturebrevi', 'ventaglidiparole', 'stopwarinukraine'}",Italy,False,proukr
